description,category,amount,date
Cab booking for trip,Travel,3828,15-09-2024
Hotel reservation,Travel,679,15-09-2024
Course enrollment fee,Education,319,15-09-2024
Travel package booking,Travel,2689,16-09-2024
Skincare products,Personal Care,2043,16-09-2024
Metro card recharge,Transport,2941,16-09-2024
Room rent payment,Rent,3482,17-09-2024
Amusement park visit,Entertainment,1330,17-09-2024
Eye test at optician,Medical,2410,17-09-2024
Facial treatment,Personal Care,625,18-09-2024
Metro card recharge,Transport,1357,18-09-2024
Spotify premium payment,Entertainment,3242,19-09-2024
Tuition fees payment,Education,3228,19-09-2024
Grocery shopping at local store,Groceries,2784,19-09-2024
Dinner at KFC,Dining,2262,20-09-2024
Bus fare,Transport,2402,20-09-2024
Dental check-up,Medical,3618,20-09-2024
Lunch with friends,Dining,1705,21-09-2024
Dinner at KFC,Dining,1629,21-09-2024
Grocery shopping at local store,Groceries,2253,21-09-2024
Lunch with friends,Dining,1440,22-09-2024
Bought medicines,Medical,1792,22-09-2024
Life insurance policy,Insurance,1975,23-09-2024
Uber ride to office,Transport,669,23-09-2024
Dinner at KFC,Dining,1324,23-09-2024
Hotel reservation,Travel,1006,24-09-2024
Ordered pizza,Dining,1989,24-09-2024
Breakfast at cafe,Dining,4003,24-09-2024
Gas connection charges,Utilities,2431,25-09-2024
Manicure session,Personal Care,1018,25-09-2024
Room rent payment,Rent,1366,25-09-2024
Paid house rent,Rent,1093,26-09-2024
Facial treatment,Personal Care,331,26-09-2024
Bought medicines,Medical,2894,27-09-2024
Facial treatment,Personal Care,1108,27-09-2024
Bought medicines,Medical,4343,27-09-2024
Amusement park visit,Entertainment,2582,28-09-2024
Netflix subscription,Entertainment,3878,28-09-2024
Flight booking to Delhi,Travel,1058,28-09-2024
Haircut at salon,Personal Care,1279,29-09-2024
Online shopping on Amazon,Shopping,1085,29-09-2024
Facial treatment,Personal Care,4635,29-09-2024
Manicure session,Personal Care,325,30-09-2024
Spotify premium payment,Entertainment,2790,30-09-2024
Health checkup,Medical,2339,01-10-2024
Life insurance policy,Insurance,1289,01-10-2024
Taxi to airport,Transport,175,01-10-2024
Netflix subscription,Entertainment,4115,02-10-2024
Doctor consultation,Medical,4362,02-10-2024
Weekly grocery run,Groceries,3918,02-10-2024
Manicure session,Personal Care,1258,03-10-2024
Life insurance policy,Insurance,3299,03-10-2024
Rent for PG,Rent,968,03-10-2024
Bought college books,Education,3973,04-10-2024
Doctor consultation,Medical,4453,04-10-2024
Online shopping on Amazon,Shopping,2019,05-10-2024
Online course subscription,Education,2843,05-10-2024
Advance rent for flat,Rent,941,05-10-2024
Weekly grocery run,Groceries,4520,06-10-2024
Eye test at optician,Medical,2083,06-10-2024
Eye test at optician,Medical,1414,06-10-2024
Weekly grocery run,Groceries,178,07-10-2024
Tuition fees payment,Education,1064,07-10-2024
Bought medicines,Medical,1849,08-10-2024
Eye test at optician,Medical,4662,08-10-2024
Facial treatment,Personal Care,1568,08-10-2024
Hotel reservation,Travel,4231,09-10-2024
Bought new shoes,Shopping,1248,09-10-2024
Home insurance premium,Insurance,3923,09-10-2024
Eye test at optician,Medical,2524,10-10-2024
Online shopping on Amazon,Shopping,3535,10-10-2024
Insurance renewal,Insurance,4099,10-10-2024
Movie tickets,Entertainment,3769,11-10-2024
Gas connection charges,Utilities,352,11-10-2024
Swiggy food order,Dining,4002,12-10-2024
Bus fare,Transport,4733,12-10-2024
Netflix subscription,Entertainment,1036,12-10-2024
Travel package booking,Travel,1913,13-10-2024
Purchased milk and bread,Groceries,4490,13-10-2024
Insurance renewal,Insurance,4959,13-10-2024
Paid health insurance premium,Insurance,3122,14-10-2024
Monthly rent for apartment,Rent,3174,14-10-2024
Online course subscription,Education,1377,14-10-2024
Taxi to airport,Transport,2458,15-10-2024
Room rent payment,Rent,3723,15-10-2024
Breakfast at cafe,Dining,3341,16-10-2024
Metro card recharge,Transport,4083,16-10-2024
Flight booking to Delhi,Travel,753,16-10-2024
Water bill payment,Utilities,624,17-10-2024
Bought shampoo and soap,Personal Care,3282,17-10-2024
Bought vegetables and fruits,Groceries,4833,17-10-2024
Online shopping on Amazon,Shopping,2682,18-10-2024
Eye test at optician,Medical,3878,18-10-2024
Eye test at optician,Medical,3280,18-10-2024
Water bill payment,Utilities,538,19-10-2024
Dinner at KFC,Dining,1397,19-10-2024
Bought new shoes,Shopping,3731,20-10-2024
Uber ride to office,Transport,3223,20-10-2024
Amusement park visit,Entertainment,4639,20-10-2024
Bought medicines,Medical,1717,21-10-2024
Haircut at salon,Personal Care,1687,21-10-2024
Grocery shopping at local store,Groceries,4164,21-10-2024
Travel package booking,Travel,3603,22-10-2024
Dental check-up,Medical,1050,22-10-2024
Cab booking for trip,Travel,900,22-10-2024
Health checkup,Medical,1438,23-10-2024
Clothes shopping,Shopping,3762,23-10-2024
Doctor consultation,Medical,1417,24-10-2024
Train ticket purchase,Travel,871,24-10-2024
Internet subscription,Utilities,504,24-10-2024
Eye test at optician,Medical,1674,25-10-2024
Dental check-up,Medical,2822,25-10-2024
Uber ride to office,Transport,3776,25-10-2024
Exam registration fee,Education,3197,26-10-2024
Room rent payment,Rent,4139,26-10-2024
Tuition fees payment,Education,4856,26-10-2024
Online course subscription,Education,2240,27-10-2024
Paid electricity bill,Utilities,966,27-10-2024
Flight booking to Delhi,Travel,4036,28-10-2024
Clothes shopping,Shopping,2925,28-10-2024
Filled petrol,Transport,1490,28-10-2024
Manicure session,Personal Care,4450,29-10-2024
Tuition fees payment,Education,785,29-10-2024
Purchased a handbag,Shopping,3618,29-10-2024
Lunch with friends,Dining,3388,30-10-2024
Uber ride to office,Transport,3065,30-10-2024
Health checkup,Medical,2939,31-10-2024
Taxi to airport,Transport,1011,31-10-2024
Uber ride to office,Transport,3039,31-10-2024
Online course subscription,Education,3898,01-11-2024
Online course subscription,Education,1076,01-11-2024
Mobile recharge,Utilities,3915,01-11-2024
Room rent payment,Rent,2913,02-11-2024
Facial treatment,Personal Care,2551,02-11-2024
Life insurance policy,Insurance,1997,02-11-2024
Clothes shopping,Shopping,1227,03-11-2024
Cab booking for trip,Travel,4810,03-11-2024
Room rent payment,Rent,61,04-11-2024
Rent for PG,Rent,4449,04-11-2024
Purchased a handbag,Shopping,3414,04-11-2024
Paid health insurance premium,Insurance,3072,05-11-2024
Internet subscription,Utilities,3421,05-11-2024
Bought new shoes,Shopping,2880,05-11-2024
Bought rice and lentils,Groceries,92,06-11-2024
Clothes shopping,Shopping,993,06-11-2024
Uber ride to office,Transport,2440,06-11-2024
Amusement park visit,Entertainment,2595,07-11-2024
Movie tickets,Entertainment,2461,07-11-2024
Dinner at KFC,Dining,1054,08-11-2024
Gas connection charges,Utilities,70,08-11-2024
Metro card recharge,Transport,456,08-11-2024
Advance rent for flat,Rent,1064,09-11-2024
Travel package booking,Travel,4481,09-11-2024
Tuition fees payment,Education,1888,09-11-2024
Doctor consultation,Medical,3238,10-11-2024
Game purchase,Entertainment,764,10-11-2024
Uber ride to office,Transport,4196,10-11-2024
Filled petrol,Transport,3904,11-11-2024
Purchased milk and bread,Groceries,4469,11-11-2024
Advance rent for flat,Rent,4934,12-11-2024
Game purchase,Entertainment,190,12-11-2024
Monthly rent for apartment,Rent,4615,12-11-2024
Purchased milk and bread,Groceries,4932,13-11-2024
Train ticket purchase,Travel,1013,13-11-2024
Facial treatment,Personal Care,422,13-11-2024
Paid electricity bill,Utilities,3685,14-11-2024
Bought new shoes,Shopping,2591,14-11-2024
Lunch with friends,Dining,3660,14-11-2024
Online course subscription,Education,1742,15-11-2024
Health checkup,Medical,155,15-11-2024
Bought new shoes,Shopping,1731,16-11-2024
Paid electricity bill,Utilities,4147,16-11-2024
Doctor consultation,Medical,4066,16-11-2024
Manicure session,Personal Care,2686,17-11-2024
Paid health insurance premium,Insurance,2187,17-11-2024
Movie tickets,Entertainment,3466,17-11-2024
Eye test at optician,Medical,4495,18-11-2024
Online course subscription,Education,3580,18-11-2024
Car insurance payment,Insurance,1336,19-11-2024
Amusement park visit,Entertainment,3229,19-11-2024
Amusement park visit,Entertainment,3704,19-11-2024
Dental check-up,Medical,2409,20-11-2024
Purchased a handbag,Shopping,494,20-11-2024
Mobile recharge,Utilities,85,20-11-2024
Amusement park visit,Entertainment,1525,21-11-2024
Metro card recharge,Transport,4007,21-11-2024
Amusement park visit,Entertainment,1848,21-11-2024
Bus fare,Transport,1895,22-11-2024
Manicure session,Personal Care,1458,22-11-2024
Metro card recharge,Transport,1758,23-11-2024
Cab booking for trip,Travel,2988,23-11-2024
Mobile recharge,Utilities,1350,23-11-2024
Clothes shopping,Shopping,1293,24-11-2024
Car insurance payment,Insurance,4026,24-11-2024
Insurance renewal,Insurance,3147,24-11-2024
Uber ride to office,Transport,4666,25-11-2024
Rent for PG,Rent,59,25-11-2024
Home insurance premium,Insurance,2475,25-11-2024
Purchased a handbag,Shopping,1710,26-11-2024
Online course subscription,Education,2681,26-11-2024
Dental check-up,Medical,4865,27-11-2024
Uber ride to office,Transport,1122,27-11-2024
Game purchase,Entertainment,3275,27-11-2024
Paid health insurance premium,Insurance,1366,28-11-2024
Bought medicines,Medical,4195,28-11-2024
Paid electricity bill,Utilities,3733,28-11-2024
Bought shampoo and soap,Personal Care,3323,29-11-2024
Car insurance payment,Insurance,195,29-11-2024
Travel package booking,Travel,3090,29-11-2024
Skincare products,Personal Care,1512,30-11-2024
Car insurance payment,Insurance,4726,30-11-2024
Clothes shopping,Shopping,1634,01-12-2024
Metro card recharge,Transport,532,01-12-2024
Rent for PG,Rent,3229,01-12-2024
Insurance renewal,Insurance,1299,02-12-2024
Weekly grocery run,Groceries,4818,02-12-2024
Paid health insurance premium,Insurance,680,02-12-2024
Spotify premium payment,Entertainment,711,03-12-2024
Hotel reservation,Travel,3553,03-12-2024
Eye test at optician,Medical,2902,03-12-2024
Cab booking for trip,Travel,2516,04-12-2024
Dental check-up,Medical,1037,04-12-2024
Bought medicines,Medical,1596,05-12-2024
Internet subscription,Utilities,699,05-12-2024
Amusement park visit,Entertainment,1018,05-12-2024
Spotify premium payment,Entertainment,2687,06-12-2024
Swiggy food order,Dining,1150,06-12-2024
Clothes shopping,Shopping,490,06-12-2024
Eye test at optician,Medical,819,07-12-2024
Movie tickets,Entertainment,1393,07-12-2024
Game purchase,Entertainment,4408,07-12-2024
Flight booking to Delhi,Travel,3779,08-12-2024
Bought new shoes,Shopping,3956,08-12-2024
Flight booking to Delhi,Travel,1627,09-12-2024
Skincare products,Personal Care,4058,09-12-2024
Paid electricity bill,Utilities,3401,09-12-2024
Bought college books,Education,4845,10-12-2024
Grocery shopping at local store,Groceries,2399,10-12-2024
Purchased a handbag,Shopping,3652,10-12-2024
Dinner at KFC,Dining,1291,11-12-2024
Health checkup,Medical,1175,11-12-2024
Movie tickets,Entertainment,2651,12-12-2024
Uber ride to office,Transport,1240,12-12-2024
Haircut at salon,Personal Care,4181,12-12-2024
Cab booking for trip,Travel,4889,13-12-2024
Bought medicines,Medical,4498,13-12-2024
Life insurance policy,Insurance,122,13-12-2024
Paid health insurance premium,Insurance,1964,14-12-2024
Haircut at salon,Personal Care,2522,14-12-2024
Movie tickets,Entertainment,3096,14-12-2024
Travel package booking,Travel,757,15-12-2024
Clothes shopping,Shopping,1854,15-12-2024
Car insurance payment,Insurance,3763,16-12-2024
Internet subscription,Utilities,2614,16-12-2024
Taxi to airport,Transport,2525,16-12-2024
Dinner at KFC,Dining,3660,17-12-2024
Tuition fees payment,Education,4305,17-12-2024
Bought a watch,Shopping,2873,17-12-2024
Manicure session,Personal Care,1785,18-12-2024
Breakfast at cafe,Dining,1635,18-12-2024
Paid health insurance premium,Insurance,116,18-12-2024
Clothes shopping,Shopping,3111,19-12-2024
Facial treatment,Personal Care,2478,19-12-2024
Cab booking for trip,Travel,4203,20-12-2024
Gas connection charges,Utilities,391,20-12-2024
Health checkup,Medical,2824,20-12-2024
Doctor consultation,Medical,2867,21-12-2024
Hotel reservation,Travel,2711,21-12-2024
Exam registration fee,Education,1282,21-12-2024
Bus fare,Transport,3924,22-12-2024
Haircut at salon,Personal Care,2451,22-12-2024
Skincare products,Personal Care,1544,22-12-2024
Advance rent for flat,Rent,4261,23-12-2024
Metro card recharge,Transport,711,23-12-2024
Online course subscription,Education,3933,24-12-2024
Haircut at salon,Personal Care,3669,24-12-2024
Tuition fees payment,Education,1918,24-12-2024
Home insurance premium,Insurance,2384,25-12-2024
Taxi to airport,Transport,3424,25-12-2024
Tuition fees payment,Education,1066,25-12-2024
Breakfast at cafe,Dining,4456,26-12-2024
Purchased milk and bread,Groceries,257,26-12-2024
Bought new shoes,Shopping,2715,26-12-2024
Clothes shopping,Shopping,2543,27-12-2024
Doctor consultation,Medical,682,27-12-2024
Dinner at KFC,Dining,2152,28-12-2024
Breakfast at cafe,Dining,3009,28-12-2024
Clothes shopping,Shopping,3133,28-12-2024
Car insurance payment,Insurance,4802,29-12-2024
Facial treatment,Personal Care,1981,29-12-2024
Dinner at KFC,Dining,3769,29-12-2024
Purchased milk and bread,Groceries,2612,30-12-2024
Doctor consultation,Medical,1729,30-12-2024
Flight booking to Delhi,Travel,286,31-12-2024
Doctor consultation,Medical,1729,30-12-2024
Flight booking to Delhi,Travel,286,31-12-2024
Birthday gift,Gifts,509,21-05-2023
Hotel booking,Travel,2386,22-02-2023
Home decor,Household,9035,14-02-2023
Yoga class fee,Fitness,620,16-01-2023
Cab ride,Transport,3911,16-09-2023
Pet food,Pets,9295,12-04-2023
Gift cards,Gifts,9028,03-08-2023
Tour package,Travel,9754,23-05-2023
Concert ticket,Entertainment,7024,24-06-2023
Miscellaneous expense,Dining,3627,22-06-2023
Apartment rent,Rent,6324,19-02-2023
Gas connection payment,Utilities,9991,16-05-2023
Fruit market purchase,Groceries,8885,05-03-2023
Electricity bill,Utilities,9144,31-05-2023
Gift cards,Gifts,6025,23-10-2023
Clothes shopping,Shopping,850,05-12-2023
Travel insurance,Travel,1407,30-04-2023
Monthly housing fee,Rent,4654,21-08-2023
Anniversary present,Gifts,2764,09-07-2023
Water bill,Utilities,4474,26-12-2023
Home decor,Household,1269,08-11-2023
Birthday gift,Gifts,8851,06-05-2023
Miscellaneous expense,Medical,6316,19-05-2023
Gift cards,Gifts,9225,23-04-2023
New furniture,Household,1016,28-04-2023
Monthly grocery stock,Groceries,6672,18-05-2023
Cab ride,Transport,9392,11-06-2023
Mall shopping,Shopping,6582,26-11-2023
Medicine purchase,Healthcare,4439,13-03-2023
Travel insurance,Travel,9677,08-08-2023
Yoga class fee,Fitness,6030,23-04-2023
Library fee,Education,1589,25-01-2023
House maintenance fee,Rent,2721,15-12-2023
Lunch with friends,Dining Out,6404,15-07-2023
Vet visit,Pets,8769,09-05-2023
Health insurance premium,Insurance,1976,16-12-2023
Car insurance renewal,Insurance,5673,27-02-2023
Car insurance renewal,Insurance,2691,21-08-2023
Netflix renewal,Entertainment,8301,02-04-2023
Clothes shopping,Shopping,4989,24-11-2023
Footwear purchase,Shopping,2604,11-07-2023
Miscellaneous expense,Medical,9913,15-06-2023
Flight booking,Travel,1932,05-07-2023
Health insurance premium,Insurance,1049,04-05-2023
Gym membership,Fitness,1503,06-09-2023
Cab ride,Transport,2203,04-12-2023
Hotel booking,Travel,4442,28-09-2023
Vet visit,Pets,3570,04-10-2023
Online store order,Shopping,6637,10-12-2023
Anniversary present,Gifts,7277,22-09-2023
Doctor visit,Healthcare,4161,26-04-2023
Train ticket,Transport,444,29-10-2023
Health insurance premium,Insurance,9741,23-04-2023
Movie ticket,Entertainment,1064,28-04-2023
Bus pass recharge,Transport,5513,06-02-2023
Footwear purchase,Shopping,4662,09-12-2023
Hotel booking,Travel,8934,09-03-2023
Fitness supplement,Fitness,7844,05-05-2023
Tour package,Travel,3219,18-02-2023
Monthly housing fee,Rent,5904,05-08-2023
Ordered food online,Dining Out,987,11-12-2023
Gift cards,Gifts,1712,01-02-2023
Gas connection payment,Utilities,1890,08-05-2023
Footwear purchase,Shopping,8886,18-08-2023
Library fee,Education,3106,23-05-2023
Medicine purchase,Healthcare,1335,15-08-2023
Health insurance premium,Insurance,928,30-11-2023
Health insurance premium,Insurance,1628,02-05-2023
Miscellaneous expense,Medical,8056,04-09-2023
Mall shopping,Shopping,1060,26-03-2023
Electricity bill,Utilities,6496,16-05-2023
Health checkup,Healthcare,7030,23-12-2023
Home insurance,Insurance,8073,21-03-2023
Online store order,Shopping,3666,30-01-2023
Fitness supplement,Fitness,8983,01-02-2023
Miscellaneous expense,Personal Care,921,27-10-2023
Hotel booking,Travel,1031,18-09-2023
Cab ride,Transport,1222,01-11-2023
Cab ride,Transport,6715,03-03-2023
Gym membership,Fitness,9585,01-11-2023
Bought vegetables,Groceries,6968,03-12-2023
Fitness supplement,Fitness,8665,11-06-2023
Miscellaneous expense,Dining,5247,03-05-2023
Miscellaneous expense,Dining,2244,10-12-2023
Anniversary present,Gifts,7591,11-06-2023
Bus pass recharge,Transport,7608,15-11-2023
Gym membership,Fitness,1300,03-10-2023
Online store order,Shopping,2270,28-06-2023
Cab ride,Transport,6154,26-05-2023
Miscellaneous expense,Medical,9000,27-12-2023
